url,city,deal_type,object_type,rooms,floor,floors_total,area_m2,price,currency,price_per_m2,creation_date,images_folder_url,urgent_tag
https://edc.sale/ru/vidnoje/real-estate/sale/houses/dom-2-et-584-m2-12-sot-2136165.html,Vidnoje,sell,houses,,,2.0,584.0,41800000.0,RUB,71575.34246575342,25.09.2025,https://edc.sale/files/images/items/2136/,False
https://edc.sale/ru/sankt-peterburg/real-estate/sale/apartments/studio/kvartira-studija-337-m2-1820-etazh-2136133.html,Sankt Peterburg,sell,apartments,1.0,18.0,20.0,33.7,8600000.0,RUB,255192.8783382789,24.09.2025,https://edc.sale/files/images/items/2136/,False
https://edc.sale/ru/sochi/real-estate/sale/apartments/2/2-komn-kv-64-m2-89-etazh-2136091.html,Sochi,sell,apartments,2.0,8.0,9.0,64.0,11000000.0,RUB,171875.0,24.09.2025,https://edc.sale/files/images/items/2136/,False
https://edc.sale/ru/barnaul/real-estate/rent/apartments/1/1-komn-kv-34-m2-410-etazh-2136057.html,Barnaul,rent,apartments,1.0,4.0,10.0,34.0,25000.0,RUB,735.2941176470588,24.09.2025,https://edc.sale/files/images/items/2136/,False
https://edc.sale/ru/moskva/real-estate/rent/apartments/2/2-komn-kv-53-m2-19-etazh-2136055.html,Moskva,rent,apartments,2.0,1.0,9.0,53.0,45000.0,RUB,849.0566037735849,24.09.2025,https://edc.sale/files/images/items/2136/,False
https://edc.sale/ru/vladimir/real-estate/sale/land/dacha-v-cherte-goroda-vladimir-2136053.html,Vladimir,sell,land,,,,588.0,500000.0,RUB,850.3401360544218,24.09.2025,https://edc.sale/files/images/items/2136/,False
https://edc.sale/ru/krasnodar/real-estate/sale/apartments/2/2-komn-kv-608-m2-316-etazh-2136046.html,Krasnodar,sell,apartments,2.0,3.0,16.0,60.8,6000000.0,RUB,98684.2105263158,24.09.2025,https://edc.sale/files/images/items/2136/,False
https://edc.sale/ru/noginsk/real-estate/sale/garages/prodam-garazh-2135978.html,Noginsk,sell,garages,,,,37.2,880000.0,RUB,23655.91397849462,23.09.2025,https://edc.sale/files/images/items/2135/,True
https://edc.sale/ru/sevastopol/real-estate/rent/apartments/2/2-komn-kv-42-m2-28-etazh-2136031.html,Sevastopol,rent,apartments,2.0,2.0,8.0,42.0,47000.0,RUB,1119.047619047619,24.09.2025,https://edc.sale/files/images/items/2136/,False
https://edc.sale/ru/rybinsk/real-estate/sale/apartments/3/3-komn-kv-674-m2-45-etazh-2136017.html,Rybinsk,sell,apartments,3.0,4.0,5.0,67.4,4750000.0,RUB,70474.77744807121,24.09.2025,https://edc.sale/files/images/items/2136/,False
https://edc.sale/ru/moskva/real-estate/commercial/rent/shop/sdajetsa-pomeshhenije-v-1-minute-ot-metro-2135961.html,Moskva,rent,shop,,1.0,,188.0,880000.0,RUB,4680.851063829788,23.09.2025,https://edc.sale/files/images/items/2135/,False
https://edc.sale/ru/berezovskij-ko/real-estate/sale/houses/dom-2-et-133-m2-12-sot-2135923.html,Berezovskij Ko,sell,houses,,,2.0,133.0,43000000.0,RUB,323308.2706766917,23.09.2025,https://edc.sale/files/images/items/2135/,True
https://edc.sale/ru/barnaul/real-estate/sale/houses/dom-2-et-84-m2-587-sot-2135855.html,Barnaul,sell,houses,,,2.0,84.0,5500000.0,RUB,65476.19047619047,23.09.2025,https://edc.sale/files/images/items/2135/,False
https://edc.sale/ru/saransk/real-estate/sale/houses/dom-2-et-125-m2-1575-sot-2135802.html,Saransk,sell,houses,,,2.0,125.0,9300000.0,RUB,74400.0,22.09.2025,https://edc.sale/files/images/items/2135/,False
https://edc.sale/ru/tomsk/real-estate/sale/apartments/studio/kvartira-studija-257-m2-19-etazh-2135801.html,Tomsk,sell,apartments,1.0,1.0,9.0,25.7,3100000.0,RUB,120622.56809338521,22.09.2025,https://edc.sale/files/images/items/2135/,False
https://edc.sale/ru/jessentuki/real-estate/rent/apartments/2/2-komn-kv-43-m2-15-etazh-2135796.html,Jessentuki,rent,apartments,2.0,1.0,5.0,43.0,22000.0,RUB,511.6279069767442,22.09.2025,https://edc.sale/files/images/items/2135/,False
https://edc.sale/ru/azov/real-estate/sale/houses/dom-1-et-100-m2-50-sot-2135719.html,Azov,sell,houses,,,1.0,100.0,5300000.0,RUB,53000.0,22.09.2025,https://edc.sale/files/images/items/2135/,False
https://edc.sale/ru/rostov-na-donu/real-estate/commercial/rent/office/sdaju-ofis-2135702.html,Rostov Na Donu,rent,office,,,7.0,,45000.0,RUB,,21.09.2025,https://edc.sale/files/images/items/2135/,True
https://edc.sale/ru/voronezh/real-estate/sale/garages/metallicheskij-garazh-2135699.html,Voronezh,sell,garages,,,,,46000.0,RUB,,21.09.2025,https://edc.sale/files/images/items/2135/,False
https://edc.sale/ru/krasnodar/real-estate/sale/land/prodajetsa-zemelnyj-uchastok-2135637.html,Krasnodar,sell,land,,,,3356.0,21500000.0,RUB,6406.436233611442,21.09.2025,https://edc.sale/files/images/items/2135/,False
https://edc.sale/ru/nizhnij-novgorod/real-estate/sale/land/uchastok-na-krasnoj-linii-4-7-sot-snt-dnp-2135583.html,Nizhnij Novgorod,sell,land,,,,470.0,4500000.0,RUB,9574.468085106382,20.09.2025,https://edc.sale/files/images/items/2135/,False
https://edc.sale/ru/rostov-na-donu/real-estate/sale/garages/prodam-garazh-2134997.html,Rostov Na Donu,sell,garages,,,,,250000.0,RUB,,16.09.2025,https://edc.sale/files/images/items/2134/,False
https://edc.sale/ru/elektrogorsk/real-estate/rent/apartments/1/1-komn-kv-386-m2-45-etazh-2134931.html,Elektrogorsk,rent,apartments,1.0,4.0,5.0,38.6,25000.0,RUB,647.6683937823834,16.09.2025,https://edc.sale/files/images/items/2134/,False
